Date,Open,High,Low,Close,Adj Close,Volume
2021-02-23,3150.0,3187.5,3150.0,3162.5,2642.09814453125,89107800
2021-02-24,3175.0,3200.0,3162.5,3187.5,2662.984375,82498600
2021-02-25,3212.5,3237.5,3137.5,3137.5,2621.212158203125,133614800
2021-02-26,3087.5,3162.5,3050.0,3075.0,2568.99658203125,246190600
2021-03-01,3112.5,3300.0,3112.5,3287.5,2746.529052734375,220785400
2021-03-02,3325.0,3325.0,3250.0,3300.0,2756.971923828125,163296600
2021-03-03,3337.5,3337.5,3262.5,3300.0,2756.971923828125,78532200
2021-03-04,3312.5,3325.0,3262.5,3275.0,2736.0859375,120612600
2021-03-05,3262.5,3287.5,3225.0,3237.5,2704.756591796875,87239000
2021-03-08,3275.0,3287.5,3187.5,3212.5,2683.87060546875,54098000
2021-03-09,3187.5,3262.5,3187.5,3212.5,2683.87060546875,111838800
2021-03-10,3250.0,3250.0,3225.0,3250.0,2715.19970703125,51903000
2021-03-12,3275.0,3375.0,3275.0,3362.5,2809.18701171875,159202400
2021-03-15,3387.5,3387.5,3312.5,3325.0,2777.858154296875,79922400
2021-03-16,3325.0,3362.5,3250.0,3275.0,2736.0859375,112248400
2021-03-17,3300.0,3325.0,3262.5,3262.5,2725.642822265625,50841200
2021-03-18,3312.5,3425.0,3312.5,3400.0,2840.516845703125,152427600
2021-03-19,3400.0,3400.0,3350.0,3387.5,2830.073486328125,150713800
2021-03-22,3375.0,3412.5,3312.5,3312.5,2767.415283203125,115979200
2021-03-23,3375.0,3375.0,3312.5,3337.5,2788.30126953125,97289600
2021-03-24,3250.0,3262.5,3200.0,3212.5,2775.459228515625,115254200
2021-03-25,3225.0,3237.5,3162.5,3200.0,2764.659912109375,71666600
2021-03-26,3225.0,3237.5,3175.0,3212.5,2775.459228515625,84478000
2021-03-29,3200.0,3250.0,3187.5,3187.5,2753.8603515625,79520400
2021-03-30,3200.0,3212.5,3137.5,3162.5,2732.26171875,41180600
2021-03-31,3125.0,3162.5,3062.5,3075.0,2656.665283203125,159155800
2021-04-01,3125.0,3162.5,3075.0,3100.0,2678.26416015625,77715200
2021-04-05,3150.0,3150.0,3100.0,3112.5,2689.063720703125,39468400
2021-04-06,3112.5,3150.0,3075.0,3137.5,2710.66259765625,29650600
2021-04-07,3150.0,3162.5,3125.0,3162.5,2732.26171875,46420200
2021-04-08,3125.0,3187.5,3100.0,3137.5,2710.66259765625,88449600
2021-04-09,3187.5,3275.0,3162.5,3237.5,2797.05810546875,126420200
2021-04-12,3212.5,3250.0,3137.5,3150.0,2721.462158203125,48429000
2021-04-13,3100.0,3175.0,3100.0,3150.0,2721.462158203125,76327000
2021-04-14,3175.0,3200.0,3125.0,3162.5,2732.26171875,80914000
2021-04-15,3200.0,3200.0,3112.5,3150.0,2721.462158203125,68337400
2021-04-16,3175.0,3175.0,3125.0,3150.0,2721.462158203125,63194400
2021-04-19,3125.0,3137.5,3100.0,3112.5,2689.063720703125,43598600
2021-04-20,3100.0,3125.0,3087.5,3100.0,2678.26416015625,63882600
2021-04-21,3075.0,3087.5,3062.5,3062.5,2645.865966796875,65425600
2021-04-22,3087.5,3112.5,3050.0,3062.5,2645.865966796875,71452000
2021-04-23,3025.0,3075.0,3012.5,3075.0,2656.665283203125,104928400
2021-04-26,3050.0,3062.5,2975.0,2987.5,2581.06884765625,115305000
2021-04-27,2987.5,3037.5,2975.0,3025.0,2613.467529296875,96850800
2021-04-28,3050.0,3137.5,3050.0,3100.0,2678.26416015625,161162600
2021-04-29,3112.5,3137.5,3075.0,3112.5,2689.063720703125,82870600
2021-04-30,3112.5,3125.0,3062.5,3087.5,2667.464599609375,69941600
2021-05-03,3050.0,3075.0,3000.0,3025.0,2613.467529296875,65334000
2021-05-04,3025.0,3050.0,2987.5,3050.0,2635.06640625,56355200
2021-05-05,3075.0,3075.0,3025.0,3025.0,2613.467529296875,45851800
2021-05-06,3062.5,3062.5,3012.5,3037.5,2624.266845703125,37091000
2021-05-07,3062.5,3062.5,2975.0,2975.0,2570.269775390625,65331800
2021-05-10,3012.5,3012.5,2975.0,2987.5,2581.06884765625,35481400
2021-05-11,3000.0,3000.0,2925.0,2950.0,2548.670654296875,69381800
2021-05-17,2987.5,3000.0,2937.5,2962.5,2559.47021484375,95099800
2021-05-18,2987.5,3000.0,2912.5,2950.0,2548.670654296875,73965200
2021-05-19,2900.0,2925.0,2812.5,2837.5,2451.4755859375,98436000
2021-05-20,2825.0,2875.0,2800.0,2825.0,2440.67626953125,69610000
2021-05-21,2862.5,2950.0,2837.5,2912.5,2516.2724609375,140453000
2021-05-24,2937.5,2937.5,2875.0,2875.0,2483.874267578125,54897600
2021-05-25,2887.5,2975.0,2887.5,2950.0,2548.670654296875,90594400
2021-05-27,3000.0,3000.0,2875.0,2875.0,2483.874267578125,353889800
2021-05-28,2912.5,2950.0,2887.5,2900.0,2505.472900390625,78305800
2021-05-31,2937.5,3050.0,2912.5,3000.0,2591.86865234375,96660000
2021-06-02,3075.0,3100.0,3037.5,3050.0,2635.06640625,157335600
2021-06-03,3087.5,3137.5,3062.5,3125.0,2699.863037109375,86426400
2021-06-04,3125.0,3162.5,3062.5,3062.5,2645.865966796875,76307800
2021-06-07,3100.0,3100.0,3037.5,3062.5,2645.865966796875,42514400
2021-06-08,3075.0,3075.0,3000.0,3000.0,2591.86865234375,57084000
