Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6695.0,6780.0,6680.0,6690.0,6029.95751953125,49445000
2020-01-03,6750.0,6800.0,6725.0,6800.0,6129.10498046875,47755500
2020-01-06,6720.0,6750.0,6690.0,6735.0,6070.51806640625,27300000
2020-01-07,6735.0,6770.0,6730.0,6740.0,6075.02490234375,45022500
2020-01-08,6670.0,6745.0,6670.0,6680.0,6020.9443359375,53692500
2020-01-09,6740.0,6755.0,6730.0,6740.0,6075.02490234375,40363500
2020-01-10,6765.0,6825.0,6710.0,6725.0,6061.5048828125,73362000
2020-01-13,6740.0,6760.0,6735.0,6745.0,6079.53173828125,67855000
2020-01-14,6745.0,6885.0,6740.0,6870.0,6192.19873046875,93582000
2020-01-15,6870.0,7060.0,6800.0,6835.0,6160.65185546875,75623500
2020-01-16,6805.0,6890.0,6795.0,6850.0,6174.1728515625,88931500
2020-01-17,6840.0,6890.0,6800.0,6875.0,6196.70556640625,38249500
2020-01-20,6950.0,6975.0,6830.0,6835.0,6160.65185546875,93554500
2020-01-21,6885.0,6895.0,6825.0,6830.0,6156.14599609375,103984500
2020-01-22,6855.0,6895.0,6835.0,6840.0,6165.15966796875,94311500
2020-01-23,6885.0,6895.0,6830.0,6840.0,6165.15966796875,87728000
2020-01-24,6820.0,6880.0,6810.0,6810.0,6138.11865234375,69653500
2020-01-27,6865.0,6940.0,6815.0,6840.0,6165.15966796875,39679000
2020-01-28,6835.0,6845.0,6755.0,6790.0,6120.09130859375,82615000
2020-01-29,6800.0,6845.0,6770.0,6785.0,6115.5859375,43821000
2020-01-30,6845.0,6845.0,6730.0,6740.0,6075.02490234375,71990000
2020-01-31,6800.0,6805.0,6480.0,6480.0,5840.6767578125,163136500
2020-02-03,6480.0,6585.0,6370.0,6440.0,5804.623046875,149797000
2020-02-04,6570.0,6620.0,6520.0,6600.0,5948.83837890625,113316500
2020-02-05,6780.0,6780.0,6650.0,6730.0,6066.01171875,123002500
2020-02-06,6740.0,6780.0,6680.0,6740.0,6075.02490234375,154693500
2020-02-07,6710.0,6780.0,6705.0,6760.0,6093.05126953125,82609000
2020-02-10,6760.0,6785.0,6630.0,6785.0,6115.5859375,66578500
2020-02-11,6785.0,6785.0,6745.0,6780.0,6111.07763671875,77526500
2020-02-12,6800.0,6800.0,6760.0,6800.0,6129.10498046875,69971500
2020-02-13,6820.0,6820.0,6740.0,6790.0,6120.09130859375,49737000
2020-02-14,6780.0,6795.0,6675.0,6680.0,6020.9443359375,147028500
2020-02-17,6680.0,6750.0,6680.0,6720.0,6056.998046875,115319000
2020-02-18,6685.0,6720.0,6670.0,6695.0,6034.4638671875,98436500
2020-02-19,6665.0,6760.0,6665.0,6695.0,6034.4638671875,74594000
2020-02-20,6690.0,6695.0,6565.0,6595.0,5944.330078125,136724500
2020-02-21,6600.0,6660.0,6595.0,6615.0,5962.35791015625,98261000
2020-02-24,6565.0,6600.0,6510.0,6525.0,5881.23681640625,84910000
2020-02-25,6550.0,6560.0,6510.0,6530.0,5885.74365234375,86446500
2020-02-26,6500.0,6535.0,6420.0,6420.0,5786.5966796875,92824500
2020-02-27,6470.0,6475.0,6200.0,6290.0,5669.42236328125,129254500
2020-02-28,6200.0,6290.0,6035.0,6290.0,5669.42236328125,169946500
2020-03-02,6290.0,6290.0,6035.0,6080.0,5480.14111328125,144871500
2020-03-03,6200.0,6350.0,6200.0,6320.0,5696.46240234375,114663500
2020-03-04,6315.0,6500.0,6260.0,6440.0,5804.623046875,83025000
2020-03-05,6540.0,6540.0,6340.0,6435.0,5800.1171875,77583000
2020-03-06,6350.0,6350.0,6200.0,6200.0,5588.30126953125,77835500
2020-03-09,6000.0,6040.0,5785.0,5785.0,5214.24658203125,140889500
2020-03-10,5840.0,6010.0,5840.0,5925.0,5340.43310546875,133667000
2020-03-11,5950.0,5980.0,5790.0,5850.0,5272.8330078125,93204500
2020-03-12,5600.0,5640.0,5460.0,5560.0,5011.4453125,129845500
2020-03-13,5560.0,5560.0,5560.0,5560.0,5011.4453125,0
2020-03-16,5560.0,5560.0,5560.0,5560.0,5011.4453125,0
2020-03-17,5495.0,5505.0,5120.0,5120.0,4614.85546875,212200000
2020-03-18,5120.0,5380.0,4765.0,5000.0,4506.6953125,180053500
2020-03-19,4995.0,4995.0,4650.0,4650.0,4191.2265625,264419000
2020-03-20,4600.0,5385.0,4325.0,4735.0,4267.84033203125,335132000
2020-03-23,4760.0,5000.0,4405.0,4430.0,3992.93115234375,217843500
2020-03-24,4450.0,4995.0,4450.0,4500.0,4056.026123046875,253971000
2020-03-26,4650.0,5395.0,4650.0,5280.0,4759.0703125,331633000
2020-03-27,5360.0,5895.0,5355.0,5510.0,4966.37841796875,269683000
2020-03-30,5480.0,5555.0,5155.0,5495.0,4952.85791015625,159964500
2020-03-31,5660.0,5710.0,5485.0,5525.0,4979.89892578125,182638500
2020-04-01,5560.0,5750.0,5425.0,5480.0,4939.33740234375,152831500
2020-04-02,5470.0,5470.0,5360.0,5410.0,4876.24462890625,136623500
2020-04-03,5460.0,5530.0,5365.0,5495.0,4952.85791015625,110506000
2020-04-06,5520.0,5740.0,5495.0,5735.0,5169.17919921875,78184000
2020-04-07,5735.0,6100.0,5580.0,5655.0,5097.07275390625,149153500
2020-04-08,5655.0,5660.0,5480.0,5635.0,5079.0458984375,106111500
2020-04-09,5600.0,5695.0,5500.0,5595.0,5042.9921875,89997000
2020-04-13,5540.0,5615.0,5480.0,5500.0,4957.36474609375,58043000
2020-04-14,5505.0,5590.0,5445.0,5515.0,4970.88525390625,95796000
2020-04-15,5515.0,5630.0,5445.0,5485.0,4943.8447265625,95342000
2020-04-16,5485.0,5520.0,5185.0,5240.0,4723.01611328125,176990500
2020-04-17,5300.0,5445.0,5280.0,5425.0,4889.7646484375,160935500
2020-04-20,5430.0,5500.0,5330.0,5355.0,4826.67041015625,90744000
2020-04-21,5355.0,5355.0,5160.0,5160.0,4731.310546875,73431000
2020-04-22,5160.0,5235.0,5045.0,5145.0,4717.55615234375,107263500
2020-04-23,5180.0,5245.0,5120.0,5120.0,4694.63330078125,105419500
2020-04-24,5120.0,5140.0,4920.0,4920.0,4511.2490234375,131149500
2020-04-27,4940.0,5020.0,4855.0,4960.0,4547.9267578125,151103500
2020-04-28,4960.0,4975.0,4805.0,4830.0,4428.7265625,180488000
2020-04-29,4825.0,4850.0,4800.0,4850.0,4447.06494140625,121161000
2020-04-30,4880.0,5250.0,4880.0,5170.0,4740.47998046875,174081000
2020-05-04,5150.0,5300.0,5000.0,5220.0,4786.32568359375,114497500
2020-05-05,5220.0,5340.0,5200.0,5285.0,4845.92626953125,118643500
2020-05-06,5315.0,5370.0,5300.0,5355.0,4910.1103515625,86395500
2020-05-08,5345.0,5400.0,5150.0,5245.0,4809.2490234375,123028000
2020-05-11,5245.0,5325.0,5245.0,5295.0,4855.09521484375,40615500
2020-05-12,5340.0,5340.0,5030.0,5220.0,4786.32568359375,118660000
2020-05-13,5160.0,5170.0,5085.0,5110.0,4685.46484375,94973000
2020-05-14,5070.0,5110.0,4905.0,4920.0,4511.2490234375,131268000
2020-05-15,4920.0,4995.0,4680.0,4785.0,4387.46484375,205790000
2020-05-18,4800.0,4845.0,4750.0,4765.0,4369.126953125,139997500
2020-05-19,4840.0,4960.0,4680.0,4680.0,4291.18798828125,128504500
2020-05-20,4720.0,4800.0,4690.0,4765.0,4369.126953125,119158000
2020-05-26,4775.0,5000.0,4775.0,4970.0,4557.095703125,176076500
2020-05-27,4970.0,5000.0,4855.0,4965.0,4552.51123046875,151753500
2020-05-28,5000.0,5320.0,5000.0,5295.0,4855.09521484375,229233000
2020-05-29,5295.0,5295.0,5190.0,5190.0,4758.818359375,399414000
2020-06-02,5260.0,5500.0,5240.0,5360.0,4914.69482421875,181369500
2020-06-03,5410.0,5780.0,5400.0,5780.0,5299.80126953125,279673500
2020-06-04,5780.0,5990.0,5600.0,5790.0,5308.970703125,236158500
2020-06-05,5790.0,5855.0,5585.0,5725.0,5249.37109375,88157500
2020-06-08,5755.0,5925.0,5755.0,5900.0,5409.83203125,173557500
2020-06-09,5940.0,5995.0,5795.0,5805.0,5322.724609375,100110000
2020-06-10,5800.0,5865.0,5595.0,5800.0,5318.1396484375,115382500
2020-06-11,5750.0,5810.0,5605.0,5680.0,5208.10888671875,85187500
2020-06-12,5680.0,5680.0,5480.0,5670.0,5198.9404296875,96044000
2020-06-15,5680.0,5710.0,5500.0,5500.0,5043.0634765625,100844500
2020-06-16,5580.0,5795.0,5580.0,5760.0,5281.46240234375,91518500
2020-06-17,5800.0,5800.0,5680.0,5720.0,5244.78564453125,79800000
2020-06-18,5720.0,5740.0,5585.0,5585.0,5121.001953125,68032000
2020-06-19,5600.0,5650.0,5545.0,5575.0,5111.83251953125,110071000
2020-06-22,5595.0,5660.0,5530.0,5540.0,5079.74072265625,51590500
2020-06-23,5570.0,5660.0,5520.0,5620.0,5153.09423828125,69954000
2020-06-24,5650.0,5760.0,5640.0,5705.0,5231.033203125,57333000
2020-06-25,5700.0,5745.0,5640.0,5725.0,5249.37109375,51415000
2020-06-26,5720.0,5760.0,5640.0,5645.0,5176.01708984375,57467500
2020-06-29,5640.0,5695.0,5585.0,5675.0,5203.52490234375,48796500
2020-06-30,5700.0,5740.0,5660.0,5695.0,5221.86328125,74474000
2020-07-01,5700.0,5800.0,5675.0,5800.0,5318.1396484375,63959000
2020-07-02,5775.0,5870.0,5760.0,5870.0,5382.32373046875,75585500
2020-07-03,5870.0,5905.0,5840.0,5870.0,5382.32373046875,52219000
2020-07-06,5860.0,5935.0,5850.0,5935.0,5441.923828125,67800000
2020-07-07,5940.0,5995.0,5900.0,5990.0,5492.35498046875,74168000
2020-07-08,5990.0,6265.0,5980.0,6200.0,5684.90771484375,106444500
2020-07-09,6210.0,6240.0,6030.0,6100.0,5593.21630859375,93543500
2020-07-10,6100.0,6240.0,6080.0,6200.0,5684.90771484375,67224000
2020-07-13,6230.0,6240.0,6140.0,6175.0,5661.9853515625,86006000
2020-07-14,6175.0,6200.0,6110.0,6200.0,5684.90771484375,45616500
2020-07-15,6200.0,6240.0,6150.0,6150.0,5639.06103515625,61468000
2020-07-16,6150.0,6200.0,6140.0,6180.0,5666.5693359375,66520500
2020-07-17,6135.0,6180.0,6040.0,6120.0,5611.55419921875,73348000
2020-07-20,6120.0,6160.0,6060.0,6140.0,5629.892578125,59794500
