Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3937.5,3937.5,3887.5,3887.5,3363.98681640625,18602600
2020-01-03,3900.0,3937.5,3825.0,3900.0,3374.803466796875,32251400
2020-01-06,3875.0,3875.0,3800.0,3812.5,3299.0869140625,26249200
2020-01-07,3837.5,3850.0,3762.5,3775.0,3266.636962890625,38049800
2020-01-08,3750.0,3762.5,3700.0,3712.5,3212.5537109375,40926800
2020-01-09,3750.0,3850.0,3750.0,3850.0,3331.53662109375,43770600
2020-01-10,3850.0,3912.5,3837.5,3862.5,3342.353759765625,41985000
2020-01-13,3875.0,3900.0,3850.0,3887.5,3363.98681640625,24716600
2020-01-14,3912.5,3925.0,3862.5,3925.0,3396.43701171875,40286800
2020-01-15,3900.0,3937.5,3825.0,3837.5,3320.719970703125,35369800
2020-01-16,3837.5,3887.5,3812.5,3850.0,3331.53662109375,38027400
2020-01-17,3850.0,3887.5,3837.5,3887.5,3363.98681640625,33630000
2020-01-20,3862.5,3900.0,3762.5,3775.0,3266.636962890625,35184600
2020-01-21,3787.5,3825.0,3750.0,3787.5,3277.453369140625,32903600
2020-01-22,3812.5,3850.0,3787.5,3812.5,3299.0869140625,44490400
2020-01-23,3812.5,3862.5,3775.0,3825.0,3309.903564453125,44155400
2020-01-24,3800.0,3887.5,3800.0,3850.0,3331.53662109375,35702000
2020-01-27,3850.0,3850.0,3725.0,3725.0,3223.3701171875,28379600
2020-01-28,3700.0,3737.5,3650.0,3737.5,3234.186767578125,42985000
2020-01-29,3737.5,3762.5,3675.0,3675.0,3180.103271484375,33503800
2020-01-30,3675.0,3712.5,3625.0,3625.0,3136.836669921875,26904000
2020-01-31,3650.0,3650.0,3550.0,3600.0,3115.203369140625,54195000
2020-02-03,3550.0,3650.0,3537.5,3562.5,3082.753173828125,40300400
2020-02-04,3612.5,3687.5,3587.5,3675.0,3180.103271484375,39320000
2020-02-05,3675.0,3712.5,3625.0,3712.5,3212.5537109375,32161400
2020-02-06,3750.0,3762.5,3675.0,3675.0,3180.103271484375,33597000
2020-02-07,3700.0,3700.0,3675.0,3675.0,3180.103271484375,39234200
2020-02-10,3662.5,3662.5,3612.5,3662.5,3169.286376953125,24158600
2020-02-11,3650.0,3687.5,3637.5,3650.0,3158.469970703125,17313800
2020-02-12,3650.0,3687.5,3637.5,3637.5,3147.6533203125,22518200
2020-02-13,3637.5,3712.5,3637.5,3700.0,3201.73681640625,41031400
2020-02-14,3687.5,3800.0,3662.5,3762.5,3255.8203125,51465800
2020-02-17,3800.0,3825.0,3762.5,3812.5,3299.0869140625,28980000
2020-02-18,3825.0,3875.0,3800.0,3850.0,3331.53662109375,46645800
2020-02-19,3837.5,3912.5,3812.5,3887.5,3363.98681640625,51704600
2020-02-20,3900.0,3975.0,3900.0,3962.5,3428.886962890625,71856200
2020-02-21,3937.5,3937.5,3862.5,3887.5,3363.98681640625,94446000
2020-02-24,3800.0,3850.0,3737.5,3787.5,3277.453369140625,59512800
2020-02-25,3750.0,3812.5,3737.5,3750.0,3245.00341796875,33976200
2020-02-26,3700.0,3712.5,3650.0,3650.0,3158.469970703125,72455400
2020-02-27,3625.0,3650.0,3462.5,3537.5,3061.1201171875,59326400
2020-02-28,3400.0,3512.5,3337.5,3512.5,3039.486572265625,104295000
2020-03-02,3475.0,3487.5,3275.0,3375.0,3008.837158203125,82760000
2020-03-03,3425.0,3475.0,3350.0,3400.0,3031.124755859375,83411600
2020-03-04,3400.0,3500.0,3362.5,3475.0,3097.98779296875,77696400
2020-03-05,3500.0,3525.0,3375.0,3412.5,3042.268310546875,78261200
2020-03-06,3350.0,3350.0,3200.0,3200.0,2852.8232421875,85722600
2020-03-09,3012.5,3062.5,2800.0,2825.0,2518.5078125,136122600
2020-03-10,2850.0,2962.5,2800.0,2837.5,2529.651611328125,164540600
2020-03-11,2837.5,2862.5,2637.5,2762.5,2462.7890625,106587600
2020-03-12,2600.0,2687.5,2500.0,2512.5,2239.912109375,135371800
2020-03-13,2512.5,2512.5,2512.5,2512.5,2239.912109375,0
2020-03-16,2550.0,2625.0,2420.0,2420.0,2157.447509765625,98330000
2020-03-17,2415.0,2420.0,2255.0,2255.0,2010.3489990234375,137142000
2020-03-18,2295.0,2295.0,2100.0,2100.0,1872.165283203125,144534400
2020-03-19,1960.0,1975.0,1955.0,1955.0,1742.896728515625,21906200
2020-03-20,1900.0,1900.0,1820.0,1820.0,1622.543212890625,351439200
2020-03-23,1765.0,1765.0,1695.0,1695.0,1511.1048583984375,21148600
2020-03-24,1655.0,1715.0,1580.0,1580.0,1408.5814208984375,264178600
2020-03-26,1580.0,1845.0,1485.0,1795.0,1600.2554931640625,381513800
2020-03-27,1835.0,2120.0,1825.0,1995.0,1778.5570068359375,329983600
2020-03-30,1980.0,1980.0,1860.0,1860.0,1658.2034912109375,82145200
2020-03-31,1915.0,2010.0,1860.0,1910.0,1702.77880859375,199220400
2020-04-01,1915.0,2000.0,1835.0,1840.0,1640.373291015625,172971000
2020-04-02,1845.0,1925.0,1735.0,1925.0,1716.1513671875,117968800
2020-04-03,1940.0,2020.0,1920.0,2005.0,1787.4720458984375,95169200
2020-04-06,2030.0,2150.0,2005.0,2145.0,1912.282958984375,122959600
2020-04-07,2245.0,2325.0,2060.0,2155.0,1921.1981201171875,163256600
2020-04-08,2100.0,2120.0,2005.0,2005.0,1787.4720458984375,123065400
2020-04-09,2050.0,2075.0,1935.0,1995.0,1778.5570068359375,73319200
2020-04-13,2000.0,2035.0,1950.0,1995.0,1778.5570068359375,41042600
2020-04-14,2000.0,2095.0,2000.0,2075.0,1849.877685546875,57683200
2020-04-15,2080.0,2115.0,1995.0,2100.0,1872.165283203125,75203600
2020-04-16,2050.0,2050.0,1975.0,1990.0,1774.0994873046875,92763800
2020-04-17,2035.0,2085.0,2035.0,2080.0,1854.335205078125,89041400
2020-04-20,2085.0,2120.0,2035.0,2050.0,1827.58984375,69765600
2020-04-21,2040.0,2050.0,1995.0,2015.0,1796.38720703125,41715200
2020-04-22,1985.0,2035.0,1950.0,2010.0,1791.9295654296875,105656400
2020-04-23,2025.0,2035.0,1995.0,2010.0,1791.9295654296875,76382800
2020-04-24,2010.0,2010.0,1890.0,1900.0,1693.86376953125,100645000
2020-04-27,1935.0,1960.0,1875.0,1900.0,1693.86376953125,68610200
2020-04-28,1910.0,1915.0,1875.0,1910.0,1702.77880859375,69997600
2020-04-29,1925.0,1925.0,1875.0,1880.0,1676.03369140625,65257600
2020-04-30,1910.0,2050.0,1900.0,2050.0,1827.58984375,126389200
2020-05-04,2000.0,2000.0,1935.0,1960.0,1747.354248046875,66251600
2020-05-05,1980.0,2015.0,1890.0,1920.0,1711.6939697265625,108560200
2020-05-06,1925.0,1945.0,1910.0,1915.0,1707.2364501953125,82511800
2020-05-08,1925.0,1935.0,1895.0,1900.0,1693.86376953125,91046000
2020-05-11,1930.0,1930.0,1900.0,1900.0,1693.86376953125,80701600
2020-05-12,1910.0,1910.0,1825.0,1830.0,1631.4583740234375,164776400
2020-05-13,1820.0,1870.0,1790.0,1860.0,1658.2034912109375,78014600
2020-05-14,1835.0,1870.0,1755.0,1770.0,1577.9677734375,94613200
2020-05-15,1785.0,1795.0,1650.0,1670.0,1488.817138671875,173916400
